,,,,
78.5,0.011,1.236,,
79.5,0.04,1.245,,
80.5,0.016,1.225,,
81.5,0.028,1.288,,
82.5,0.021,1.145,,
83.5,0.023,1.211,,
84.5,-0.003,1.106,,
85.5,0.028,1.241,,
86.5,0.019,1.266,,
87.5,0.033,1.104,,
88.5,0.016,1.105,,
89.5,0.009,1.068,,
90.5,-0.005,1.044,,
91.5,0.014,1.157,,
92.5,0.042,1.228,,
93.5,0.021,1.194,,
94.5,0.022,1.151,,
95.5,0.007,1.107,,
96.5,0.01,1.103,,
97.5,0.007,1.101,,
98.5,0.043,1.224,,
99.5,0.016,1.132,,
100.5,0.018,1.133,,
101.5,0.017,1.121,,
102.5,0.007,1.185,,
103.5,0.026,1.145,,
104.5,0.033,1.082,,
105.5,0.047,1.102,,
106.5,0.014,1.066,,
107.5,0.023,1.07,,
108.5,0.026,1.197,,
109.5,-0.006,1.117,,
110.5,0.004,1.2,,
111.5,0.034,1.165,,
112.5,0.001,1.092,,
113.5,0,1.123,,
114.5,-0.005,1.056,,
115.5,0.007,1.046,,
116.5,0.023,1.076,,
117.5,0.013,1.105,,
118.5,0.017,1.1,,
119.5,0.025,1.03,,
120.5,0.022,1.126,,
121.5,0.019,1.089,,
122.5,0.008,1.007,,
123.5,0.02,1.122,,
124.5,-0.009,0.987,,
125.5,0.001,0.963,,
126.5,0.027,1.011,,
127.5,0.006,0.963,,
128.5,0.001,1.158,,
129.5,0,1.129,,
130.5,0.043,1.094,,
131.5,0.011,0.939,,
132.5,0.006,0.965,,
133.5,-0.01,0.989,,
134.5,0.025,1.154,,
135.5,0.022,1.061,,
136.5,0.003,1.062,,
137.5,0.01,0.985,,
138.5,0.024,1.113,,
139.5,0.009,1.095,,
140.5,0.028,1.128,,
141.5,-0.002,1.01,,
142.5,0.004,0.948,,
143.5,-0.004,0.955,,
144.5,-0.016,1.02,,
145.5,0.009,1.018,,
146.5,0.012,0.944,,
147.5,-0.018,0.968,,
148.5,0.025,0.997,,
149.5,0.016,0.947,,
150.5,-0.013,0.91,,
151.5,0.019,0.922,,
152.5,0.021,1.073,,
153.5,0.003,0.982,,
154.5,0.009,1.044,,
155.5,0.004,1.026,,
156.5,0.004,0.961,,
157.5,0.013,1.04,,
158.5,0.012,1.026,,
159.5,0.015,1.024,,
160.5,0.015,1.023,,
161.5,0.019,1.066,,
162.5,0.014,0.964,,
163.5,0.004,0.955,,
164.5,0.004,0.988,,
165.5,0.013,0.993,,
166.5,-0.002,0.949,,
167.5,-0.002,0.895,,
168.5,0.016,0.94,,
169.5,0.003,0.977,,
170.5,0.018,0.976,,
171.5,-0.028,1.031,,
172.5,0.005,0.925,,
173.5,0.011,1.026,,
174.5,-0.006,0.88,,
175.5,0.004,0.923,,
176.5,-0.003,0.939,,
177.5,-0.004,1.043,,
178.5,-0.001,0.937,,
179.5,0.022,0.928,,
180.5,0.004,0.881,,
181.5,0.001,0.941,,
182.5,0.012,0.916,,
183.5,0.028,0.874,,
184.5,0.015,0.949,,
185.5,0.017,0.966,,
186.5,0.009,1.024,,
187.5,-0.021,0.958,,
188.5,0.02,0.948,,
189.5,-0.017,0.847,,
190.5,0.008,0.914,,
191.5,0.011,0.9,,
192.5,0.007,0.992,,
193.5,0.006,0.862,,
194.5,-0.002,1.079,,
195.5,-0.004,0.888,,
196.5,0.021,1.062,,
197.5,0.001,0.933,,
198.5,0.023,1.06,,
199.5,0.018,0.97,,
200.5,0.019,0.863,,
201.5,-0.007,0.823,,
202.5,0.007,0.843,,
203.5,0.008,0.845,,
204.5,-0.013,0.938,,
205.5,0.007,0.935,,
206.5,0.022,1.018,,
207.5,0.004,0.945,,
208.5,0.014,0.885,,
209.5,0.008,0.91,,
210.5,0.017,0.864,,
211.5,-0.007,0.915,,
212.5,-0.002,0.877,,
213.5,-0.013,0.822,,
214.5,0.007,0.888,,
215.5,0.01,0.982,,
216.5,-0.012,0.891,,
217.5,-0.036,0.798,,
218.5,-0.011,0.827,,
219.5,0.012,0.841,,
220.5,-0.011,0.816,,
221.5,0.004,0.848,,
222.5,0.015,0.899,,
223.5,0.004,0.863,,
224.5,0.001,0.892,,
225.5,0.004,0.876,,
226.5,0.003,0.992,,
227.5,-0.025,0.781,,
228.5,0.018,0.836,,
229.5,0.012,0.859,,
230.5,-0.02,0.844,,
231.5,-0.003,0.841,,
232.5,0.014,0.819,,
233.5,0.012,0.973,,
234.5,-0.007,0.782,,
235.5,0.002,0.881,,
236.5,0.029,0.897,,
237.5,-0.019,0.837,,
238.5,0.003,0.808,,
239.5,0.014,0.815,,
240.5,-0.005,0.811,,
241.5,0.022,0.863,,
242.5,-0.008,0.808,,
243.5,-0.015,0.877,,
244.5,0.004,0.839,,
245.5,-0.024,0.875,,
246.5,-0.021,0.811,,
247.5,-0.022,0.786,,
248.5,-0.007,0.803,,
249.5,-0.015,0.857,,
250.5,-0.007,0.814,,
251.5,-0.008,0.831,,
252.5,-0.017,0.824,,
253.5,0.005,0.887,,
254.5,0.004,0.904,,
255.5,0.003,0.817,,
256.5,0.012,0.907,,
257.5,0.025,0.898,,
258.5,0.003,0.847,,
259.5,-0.014,0.782,,
260.5,-0.011,0.758,,
261.5,-0.002,0.81,,
262.5,-0.021,0.759,,
263.5,-0.026,0.78,,
264.5,0.011,0.771,,
265.5,-0.006,0.775,,
266.5,0.012,0.762,,
267.5,0.002,0.843,,
268.5,0.018,0.866,,
269.5,0.014,0.779,,
270.5,0.007,0.846,,
271.5,-0.014,0.8,,
272.5,-0.001,0.816,,
273.5,-0.013,0.741,,
274.5,0.003,0.829,,
275.5,-0.001,0.98,,
276.5,0.007,0.797,,
277.5,-0.009,0.799,,
278.5,-0.006,0.836,,
279.5,0.013,0.813,,
